cuisine_id,cuisine_name,cuisine_image
1,American,https://media.istockphoto.com/photos/fast-food-and-drink-on-table-picture-id1031354828?b=1&k=20&m=1031354828&s=170667a&w=0&h=jGSAtT2kc52Cs-k6jVP_hB9nQdE2ziOTOW6bQE7grfo=
2,British,https://media.istockphoto.com/photos/english-breakfast-picture-id641845826?b=1&k=20&m=641845826&s=170667a&w=0&h=g-rY9p8o-n22-qk-XoGttaLooTBN9aotPZlN2tlWdZw=
3,Canadian,https://media.istockphoto.com/photos/charcuterie-board-picture-id1181025550?b=1&k=20&m=1181025550&s=170667a&w=0&h=YSpIk0R_9RW3rgxPRvXGqMl5rlnjlDCR-irLoX3MgiU=
4,Chinese,https://media.istockphoto.com/photos/item-combo-picture-id1324329932?b=1&k=20&m=1324329932&s=170667a&w=0&h=pRr0kLUkHEHX7gkRooBtJtLGopStmqv9EtY3PsPH4fQ=
5,Croatian,https://media.istockphoto.com/photos/grilled-squids-with-asparagus-and-potato-picture-id525343584?b=1&k=20&m=525343584&s=170667a&w=0&h=tUii7D04EK63cvInVqzWfWA1gGED8rAcatmNIdRIF3E=
6,Dutch,https://media.istockphoto.com/photos/variation-toppings-in-dutch-pancakes-picture-id800420526?b=1&k=20&m=800420526&s=170667a&w=0&h=rBbWSnkdoqwGtue6n0FrHvIs8TyMoClqkPc3XYtBNU4=
7,Egyptian,https://media.istockphoto.com/photos/meat-pilaf-picture-id508878644?b=1&k=20&m=508878644&s=170667a&w=0&h=NX7PmUT5ovLVDOrVJM9Pl0hG76iqoLZfaHZiYhBwK84=
8,French,https://media.istockphoto.com/photos/healthy-meals-for-breakfast-picture-id1338701964?b=1&k=20&m=1338701964&s=170667a&w=0&h=r9Ocl-fkfqLjidYxQ46aoq1JHKYiyn733vfJlY1raM4=
9,Greek,https://media.istockphoto.com/photos/yogurt-marinated-grilled-chicken-skewers-with-vegetables-and-tzatziki-picture-id637801656?b=1&k=20&m=637801656&s=170667a&w=0&h=XjelcYvdQXG-kUoWSzju1SnWPBT-MmvpJogAs9DkxBE=
10,Indian,https://media.istockphoto.com/photos/indian-butter-chicken-curry-picture-id177043240?b=1&k=20&m=177043240&s=170667a&w=0&h=UQxRPTrAWc0XsbPUYxsfl9D317ISyxhuAlumjBdQ9Jc=
11,Irish,https://media.istockphoto.com/photos/irish-stew-with-biscuits-picture-id155446343?b=1&k=20&m=155446343&s=170667a&w=0&h=BB9BR6rqgoU41HDPzycu2bej04IZiI3yv030fpNYJ1c=
12,Italian,https://media.istockphoto.com/photos/full-table-of-italian-meals-on-plates-pizza-pasta-ravioli-carpaccio-picture-id1227415751?b=1&k=20&m=1227415751&s=170667a&w=0&h=7BO67R9KTuIzLmUEKY-qXx0PS9jxs3CsFK1rQy6iqbw=
13,Jamaican,https://media.istockphoto.com/photos/jamaican-jerk-chicken-legs-picture-id1264328760?b=1&k=20&m=1264328760&s=170667a&w=0&h=0I8P8xRk6gQRmK6ii56AVoD3Nr_GBPVsHYkhX7Qh-bg=
14,Japanese,https://media.istockphoto.com/photos/typical-japanese-food-in-decorated-and-colorful-dishes-sushi-and-picture-id1283247433?b=1&k=20&m=1283247433&s=170667a&w=0&h=NtPnAMAIVR6NU2ldntg4DezhwzXxA11_ITmqpJjKm54=
15,Kenyan,https://media.istockphoto.com/photos/sharing-platter-of-a-traditional-kenyan-dish-nyama-choma-and-of-picture-id1131384141?b=1&k=20&m=1131384141&s=170667a&w=0&h=C8ky8xruCBknNx33434Sl0hADeE6297hMHeq0aKSGqI=
16,Malaysian,https://media.istockphoto.com/photos/nasi-kerabu-picture-id1311771258?b=1&k=20&m=1311771258&s=170667a&w=0&h=Ox6CqcF04nZjHfCii381MoecwxWX3mpanEe6oKDxtNY=
17,Mexican,https://media.istockphoto.com/photos/colorful-street-tacos-shrimp-seafood-fish-grilled-readytoeat-picture-id1171425544?b=1&k=20&m=1171425544&s=170667a&w=0&h=wR7HBIxFgjRHP_hI_cNTWkxIIQ2sn9b48Hu048cdubk=
18,Moroccan,https://media.istockphoto.com/photos/traditional-moroccan-tajine-of-chicken-with-dried-fruits-and-spices-picture-id1143191120?b=1&k=20&m=1143191120&s=170667a&w=0&h=alTKMrcmnwQduHDdcHO5XjW-QsFZKQ69zIY5mtW2tMQ=
19,Polish,https://media.istockphoto.com/photos/homemade-polish-pierogis-with-sour-cream-picture-id486978329?b=1&k=20&m=486978329&s=170667a&w=0&h=33InCXgD9imtkPHH-I4wTIrWHQ2mR__jfmHg_x6jGEE=
20,Portuguese,https://media.istockphoto.com/photos/typical-portuguese-dish-cozido-a-portuguesa-on-ceramic-dish-picture-id1297456704?b=1&k=20&m=1297456704&s=170667a&w=0&h=RKLiSQLHhKIxiq_x1e8L6o3v76FzPwervr7NZ-pWS1g=
21,Russian,https://media.istockphoto.com/photos/borsh-russian-and-ucrainian-traditional-vegetarian-red-soup-top-view-picture-id547135708?b=1&k=20&m=547135708&s=170667a&w=0&h=fYeL-_uWZRmMR9g5r2ZU-oJeq0CILI0u8Tq2fLkp8Pc=
22,Spanish,https://media.istockphoto.com/photos/seafood-paella-fidegua-fideua-noodles-recipe-from-spain-in-a-paellera-picture-id1308321744?b=1&k=20&m=1308321744&s=170667a&w=0&h=BntXqU1YUXjl7zBGe7TztO9BYt9b6gtjCEiKjjv2iq4=
