meal_name,cuisine_id,category_id,image_url
Apple Frangipan Tart,2,4,https://www.themealdb.com/images/media/meals/wxywrq1468235067.jpg
Apple & Blackberry Crumble,2,4,https://www.themealdb.com/images/media/meals/xvsurr1511719182.jpg
Bakewell tart,2,4,https://www.themealdb.com/images/media/meals/wyrqqq1468233628.jpg
Bread and Butter Pudding,2,4,https://www.themealdb.com/images/media/meals/xqwwpy1483908697.jpg
Blackberry Fool,2,4,https://www.themealdb.com/images/media/meals/rpvptu1511641092.jpg
Battenberg Cake,2,4,https://www.themealdb.com/images/media/meals/ywwrsp1511720277.jpg
Christmas Pudding Flapjack,2,4,https://www.themealdb.com/images/media/meals/vvusxs1483907034.jpg
Chocolate Avocado Mousse,2,4,https://www.themealdb.com/images/media/meals/uttuxy1511382180.jpg
Carrot Cake,2,4,https://www.themealdb.com/images/media/meals/vrspxv1511722107.jpg
Chelsea Buns,2,4,https://www.themealdb.com/images/media/meals/vqpwrv1511723001.jpg
Chocolate Caramel Crispy,2,4,https://www.themealdb.com/images/media/meals/1550442508.jpg
Christmas Pudding Trifle,2,4,https://www.themealdb.com/images/media/meals/r33cud1576791081.jpg
Classic Christmas pudding,2,4,https://www.themealdb.com/images/media/meals/1d85821576790598.jpg
Christmas cake,2,4,https://www.themealdb.com/images/media/meals/ldnrm91576791881.jpg
Dundee cake,2,4,https://www.themealdb.com/images/media/meals/wxyvqq1511723401.jpg
Eton Mess,2,4,https://www.themealdb.com/images/media/meals/uuxwvq1483907861.jpg
Eccles Cakes,2,4,https://www.themealdb.com/images/media/meals/wtqrqw1511639627.jpg
Jam Roly-Poly,2,4,https://www.themealdb.com/images/media/meals/ysqupp1511640538.jpg
Madeira Cake,2,4,https://www.themealdb.com/images/media/meals/urtqut1511723591.jpg
Mince Pies,2,4,https://www.themealdb.com/images/media/meals/qe8pf51576795532.jpg
Parkin Cake,2,4,https://www.themealdb.com/images/media/meals/qxuqtt1511724269.jpg
Rock Cakes,2,4,https://www.themealdb.com/images/media/meals/tqrrsq1511723764.jpg
Sticky Toffee Pudding Ultimate,2,4,https://www.themealdb.com/images/media/meals/xrptpq1483909204.jpg
Sticky Toffee Pudding,2,4,https://www.themealdb.com/images/media/meals/xqqqtu1511637379.jpg
Spotted Dick,2,4,https://www.themealdb.com/images/media/meals/xqvyqr1511638875.jpg
Summer Pudding,2,4,https://www.themealdb.com/images/media/meals/rsqwus1511640214.jpg
Strawberry Rhubarb Pie,2,4,https://www.themealdb.com/images/media/meals/178z5o1585514569.jpg
Treacle Tart,2,4,https://www.themealdb.com/images/media/meals/wprvrw1511641295.jpg
Chicken & mushroom Hotpot,2,3,https://www.themealdb.com/images/media/meals/uuuspp1511297945.jpg
Chicken Ham and Leek Pie,2,3,https://www.themealdb.com/images/media/meals/xrrtss1511555269.jpg
Beef Wellington,2,1,https://www.themealdb.com/images/media/meals/vvpprx1487325699.jpg
Beef Sunday Roast,2,1,https://www.themealdb.com/images/media/meals/ssrrrs1503664277.jpg
Beef Dumpling Stew,2,1,https://www.themealdb.com/images/media/meals/uyqrrv1511553350.jpg
Beef and Mustard Pie,2,1,https://www.themealdb.com/images/media/meals/sytuqu1511553755.jpg
Beef and Oyster pie,2,1,https://www.themealdb.com/images/media/meals/wrssvt1511556563.jpg
Minced Beef Pie,2,1,https://www.themealdb.com/images/media/meals/xwutvy1511555540.jpg
Steak and Kidney Pie,2,1,https://www.themealdb.com/images/media/meals/qysyss1511558054.jpg
Mushroom & Chestnut Rotolo,2,14,https://www.themealdb.com/images/media/meals/ssyqwr1511451678.jpg
Smoky Lentil Chili with Squash,2,14,https://www.themealdb.com/images/media/meals/uwxqwy1483389553.jpg
Vegetarian Casserole,2,14,https://www.themealdb.com/images/media/meals/vptwyt1511450962.jpg
Vegetarian Chilli,2,14,https://www.themealdb.com/images/media/meals/wqurxy1511453156.jpg
Broccoli & Stilton soup,2,12,https://www.themealdb.com/images/media/meals/tvvxpv1511191952.jpg
Creamy Tomato Soup,2,12,https://www.themealdb.com/images/media/meals/stpuws1511191310.jpg
Bean & Sausage Hotpot,2,7,https://www.themealdb.com/images/media/meals/vxuyrx1511302687.jpg
Turkey Meatloaf,2,7,https://www.themealdb.com/images/media/meals/ypuxtw1511297463.jpg
Baked salmon with fennel & tomatoes,2,10,https://www.themealdb.com/images/media/meals/1548772327.jpg
Fish pie,2,10,https://www.themealdb.com/images/media/meals/ysxwuq1487323065.jpg
Kedgeree,2,10,https://www.themealdb.com/images/media/meals/utxqpt1511639216.jpg
Salmon Avocado Salad,2,10,https://www.themealdb.com/images/media/meals/1549542994.jpg
Three Fish Pie,2,10,https://www.themealdb.com/images/media/meals/spswqs1511558697.jpg
English Breakfast,2,2,https://www.themealdb.com/images/media/meals/utxryw1511721587.jpg
Full English Breakfast,2,2,https://www.themealdb.com/images/media/meals/sqrtwu1511721265.jpg
Toad In The Hole,2,9,https://www.themealdb.com/images/media/meals/ytuvwr1503070420.jpg
Lamb and Potato pie,2,6,https://www.themealdb.com/images/media/meals/sxrpws1511555907.jpg
Lancashire hotpot,2,6,https://www.themealdb.com/images/media/meals/uttrxw1511637813.jpg
McSinghs Scotch pie,2,6,https://www.themealdb.com/images/media/meals/vssrtx1511557680.jpg
Apam balik,16,4,https://www.themealdb.com/images/media/meals/adxcbq1619787919.jpg
Seri muka kuih,16,4,https://www.themealdb.com/images/media/meals/6ut2og1619790195.jpg
Ayam Percik,16,3,https://www.themealdb.com/images/media/meals/020z181619788503.jpg
Beef Rendang,16,1,https://www.themealdb.com/images/media/meals/bc8v651619789840.jpg
Roti john,16,1,https://www.themealdb.com/images/media/meals/hx335q1619789561.jpg
Laksa King Prawn Noodles,16,10,https://www.themealdb.com/images/media/meals/rvypwy1503069308.jpg
Mee goreng mamak,16,10,https://www.themealdb.com/images/media/meals/xquakq1619787532.jpg
Nasi lemak,16,10,https://www.themealdb.com/images/media/meals/wai9bw1619788844.jpg
Banana Pancakes,1,4,https://www.themealdb.com/images/media/meals/sywswr1511383814.jpg
Choc Chip Pecan Pie,1,4,https://www.themealdb.com/images/media/meals/rqvwxt1511384809.jpg
